"Main Category","Sub-Category"
"Advertising & Marketing","Advertising & Marketing (Other)"
"Advertising & Marketing","Advertising Agency"
"Advertising & Marketing","AI Consultant"
"Advertising & Marketing","Branding"
"Advertising & Marketing","Copywriter/Writer"
"Advertising & Marketing","Digital Content"
"Advertising & Marketing","Digital Marketing"
"Advertising & Marketing","E-Commerce Services"
"Advertising & Marketing","Embroidery"
"Advertising & Marketing","Graphic Designer"
"Advertising & Marketing","Lead Generation"
"Advertising & Marketing","Marketing Consultant"
"Advertising & Marketing","Media Services"
"Advertising & Marketing","Online Marketing"
"Advertising & Marketing","Outdoor signs (Billboards)"
"Advertising & Marketing","Photographer"
"Advertising & Marketing","Photographer - Commercial"
"Advertising & Marketing","Podcasts"
"Advertising & Marketing","Print Advertising"
"Advertising & Marketing","Printer"
"Advertising & Marketing","Printer - Digital"
"Advertising & Marketing","Printer - Large Format"
"Advertising & Marketing","Printer - Offset"
"Advertising & Marketing","Promotional Products"
"Advertising & Marketing","Public Relation"
"Advertising & Marketing","Publisher"
"Advertising & Marketing","Radio Advertising"
"Advertising & Marketing","Relationship Marketing"
"Advertising & Marketing","Sales Promotion"
"Advertising & Marketing","Screenprinting"
"Advertising & Marketing","Search Engine Optimisation"
"Advertising & Marketing","Sign Company"
"Advertising & Marketing","Social Media"
"Advertising & Marketing","Television Advertising"
"Advertising & Marketing","Videographer/Film Producer"
"Advertising & Marketing","Web Design"
"Advertising & Marketing","Web Development"
"Advertising & Marketing","Web Shop Services"
"Agriculture","Agriculture (Other)"
"Agriculture","Agronomist"
"Animals","Animals (Other)"
"Animals","Aquarium/Fish"
"Animals","Boarding"
"Animals","Dog Trainer"
"Animals","Grooming"
"Animals","Pet Foods"
"Animals","Pet Shop"
"Animals","Veterinarian"
"Animals","Wild Life Removal"
"Architecture & Engineering","3D Modelling"
"Architecture & Engineering","Architect"
"Architecture & Engineering","Architect - Commercial"
"Architecture & Engineering","Architectural Services"
"Architecture & Engineering","Architecture & Engineering (Other)"
"Architecture & Engineering","Building Designer"
"Architecture & Engineering","Civil/structural engineer"
"Architecture & Engineering","Feng Shui"
"Architecture & Engineering","Garden and landscape architect"
"Architecture & Engineering","Hardscaping"
"Architecture & Engineering","Industrial Automation"
"Architecture & Engineering","Interior Architecture"
"Architecture & Engineering","Landscape Services"
"Architecture & Engineering","Quantity Surveyor"
"Architecture & Engineering","Surveyor"
"Architecture & Engineering","Tree Services"
"Architecture & Engineering","Vaastu Consultant"
"Art & Entertainment","Art & Entertainment (Other)"
"Art & Entertainment","Artist"
"Art & Entertainment","Disc Jockey (DJ)"
"Art & Entertainment","Entertainer"
"Art & Entertainment","Musicians"
"Car & Motorcycle","Auto Glass"
"Car & Motorcycle","Auto/Car Body Shop"
"Car & Motorcycle","Auto/Car Detailing"
"Car & Motorcycle","Auto/Car Parts & Accessories"
"Car & Motorcycle","Auto/Car Rental/Leasing"
"Car & Motorcycle","Auto/Car Repair"
"Car & Motorcycle","Auto/Car Sales"
"Car & Motorcycle","Automotive Expert"
